review_text,cleaned_text,tokens,stemmed_tokens,final_text
"Couvee Seturan adalah salah satu tempat nongkrong favorit di Jogja. Dengan suasana nyaman dan interior yang estetik, kafe ini cocok buat kamu yang ingin bersantai, bekerja, atau sekedar ngobrol sama teman. Pilihan kopinya beragam, dari yang klasik sampai yang kekinian. Harganya juga cukup terjangkau, jadi nggak bikin kantong jebol. Tapi karena tempatnya populer, siap-siap aja antri, terutama di akhir pekan. Kalau kamu lagi di Jogja, wajib banget cobain mampir ke sini!",couvee seturan adalah salah satu tempat nongkrong favorit di jogja dengan suasana nyaman dan interior yang estetik kafe ini cocok buat kamu yang ingin bersantai bekerja atau sekedar ngobrol sama teman pilihan kopinya beragam dari yang klasik sampai yang kekinian harganya juga cukup terjangkau jadi nggak bikin kantong jebol tapi karena tempatnya populer siapsiap aja antri terutama di akhir pekan kalau kamu lagi di jogja wajib banget cobain mampir ke sini,"['couvee', 'seturan', 'salah', 'nongkrong', 'favorit', 'jogja', 'suasana', 'nyaman', 'interior', 'estetik', 'kafe', 'cocok', 'bersantai', 'sekedar', 'ngobrol', 'teman', 'pilihan', 'kopinya', 'beragam', 'klasik', 'kekinian', 'harganya', 'terjangkau', 'nggak', 'bikin', 'kantong', 'jebol', 'tempatnya', 'populer', 'siapsiap', 'aja', 'antri', 'pekan', 'jogja', 'wajib', 'banget', 'cobain', 'mampir']","['couvee', 'tur', 'salah', 'nongkrong', 'favorit', 'jogja', 'suasana', 'nyaman', 'interior', 'estetik', 'kafe', 'cocok', 'santa', 'dar', 'ngobrol', 'teman', 'pilih', 'kopi', 'agam', 'klasik', 'kini', 'harga', 'jangkau', 'nggak', 'bikin', 'kantong', 'jebol', 'tempat', 'populer', 'siapsiap', 'aja', 'antri', 'pekan', 'jogja', 'wajib', 'banget', 'cobain', 'mampir']",couvee tur salah nongkrong favorit jogja suasana nyaman interior estetik kafe cocok santa dar ngobrol teman pilih kopi agam klasik kini harga jangkau nggak bikin kantong jebol tempat populer siapsiap aja antri pekan jogja wajib banget cobain mampir
"couvee dah kaya rumahh, tempatnya nyaman, fasilitasnyaa juga, tempat sholat bersih toilet bersih. Pelayanan jugaa ramah2. menunya juga hampir semua sukaaak🫶",couvee dah kaya rumahh tempatnya nyaman fasilitasnyaa juga tempat sholat bersih toilet bersih pelayanan jugaa ramah menunya juga hampir semua sukaaak,"['couvee', 'dah', 'kaya', 'rumahh', 'tempatnya', 'nyaman', 'fasilitasnyaa', 'sholat', 'bersih', 'toilet', 'bersih', 'pelayanan', 'jugaa', 'ramah', 'menunya', 'sukaaak']","['couvee', 'dah', 'kaya', 'rumahh', 'tempat', 'nyaman', 'fasilitasnyaa', 'sholat', 'bersih', 'toilet', 'bersih', 'layan', 'jugaa', 'ramah', 'menu', 'sukaaak']",couvee dah kaya rumahh tempat nyaman fasilitasnyaa sholat bersih toilet bersih layan jugaa ramah menu sukaaak
"Aku gak tau gimana lagi mengungkapkan rasa cintaku pada kopi satu ini, hampir tiap minggu pasti kesini buat menikmati segelas Everyday Latte, Java atau Americano House Blendnya.

Ambiance yang sangat mendukung untuk bekerja, nugas maupun sekedar berdiam diri sambil baca buku. Spacenya banyak dan beragam.

Semua barista dan karyawannya ramah semua.",aku gak tau gimana lagi mengungkapkan rasa cintaku pada kopi satu ini hampir tiap minggu pasti kesini buat menikmati segelas everyday latte java atau americano house blendnya ambiance yang sangat mendukung untuk bekerja nugas maupun sekedar berdiam diri sambil baca buku spacenya banyak dan beragam semua barista dan karyawannya ramah semua,"['gak', 'tau', 'gimana', 'cintaku', 'kopi', 'minggu', 'kesini', 'menikmati', 'segelas', 'everyday', 'latte', 'java', 'americano', 'house', 'blendnya', 'ambiance', 'mendukung', 'nugas', 'sekedar', 'berdiam', 'baca', 'buku', 'spacenya', 'beragam', 'barista', 'karyawannya', 'ramah']","['gak', 'tau', 'gimana', 'cinta', 'kopi', 'minggu', 'kesini', 'nikmat', 'gelas', 'everyday', 'latte', 'java', 'americano', 'house', 'blendnya', 'ambiance', 'dukung', 'nugas', 'dar', 'diam', 'baca', 'buku', 'spacenya', 'agam', 'barista', 'karyawannya', 'ramah']",gak tau gimana cinta kopi minggu kesini nikmat gelas everyday latte java americano house blendnya ambiance dukung nugas dar diam baca buku spacenya agam barista karyawannya ramah
"Kopi dengan cita rasa terbaik dan didukung suasana yang nyaman. Sejak dulu, couvee sudah menjadi opsi utamaku kalau mau minum kopi. Selalu beli basic white tanpa gula, dan lebih seringnya take away sih. Akhir-akhir ini aku baru mencoba untuk beraktivitas di sini. Lantai 1 nyaman banget buat mengerjakan tugas. Didukung hawa yang dingin dari AC dan internet yang cukup kencang. Meja dan colokannya memadai. Ruangan dan toiletnya juga bersih. Pelayanan oke dan ramah. Lengkap sudah, kopi enak + suasana nyaman. Minuman non-coffee juga enak dan bisa dicoba.

Bagian gak enaknya mungkin di parkiran sih yang lebih memadai untuk motor, kalau untuk mobil kayaknya susah. Di waktu-waktu tertentu sering rame juga dan malah bisa gak kebagian tempat untuk di bagian ruangannya. Antrian cukup bersaing dengan driver ojek online. Meski begitu, secara keseluruhan kedai kopi ini menjadi favoritku dan kurekomendasikan untuk orang-orang. 😁",kopi dengan cita rasa terbaik dan didukung suasana yang nyaman sejak dulu couvee sudah menjadi opsi utamaku kalau mau minum kopi selalu beli basic white tanpa gula dan lebih seringnya take away sih akhirakhir ini aku baru mencoba untuk beraktivitas di sini lantai nyaman banget buat mengerjakan tugas didukung hawa yang dingin dari ac dan internet yang cukup kencang meja dan colokannya memadai ruangan dan toiletnya juga bersih pelayanan oke dan ramah lengkap sudah kopi enak suasana nyaman minuman noncoffee juga enak dan bisa dicoba bagian gak enaknya mungkin di parkiran sih yang lebih memadai untuk motor kalau untuk mobil kayaknya susah di waktuwaktu tertentu sering rame juga dan malah bisa gak kebagian tempat untuk di bagian ruangannya antrian cukup bersaing dengan driver ojek online meski begitu secara keseluruhan kedai kopi ini menjadi favoritku dan kurekomendasikan untuk orangorang,"['kopi', 'cita', 'terbaik', 'didukung', 'suasana', 'nyaman', 'couvee', 'opsi', 'utamaku', 'minum', 'kopi', 'beli', 'basic', 'white', 'gula', 'take', 'away', 'sih', 'akhirakhir', 'mencoba', 'beraktivitas', 'lantai', 'nyaman', 'banget', 'tugas', 'didukung', 'hawa', 'dingin', 'ac', 'internet', 'kencang', 'meja', 'colokannya', 'memadai', 'ruangan', 'toiletnya', 'bersih', 'pelayanan', 'oke', 'ramah', 'lengkap', 'kopi', 'enak', 'suasana', 'nyaman', 'minuman', 'noncoffee', 'enak', 'dicoba', 'gak', 'enaknya', 'parkiran', 'sih', 'memadai', 'motor', 'mobil', 'kayaknya', 'susah', 'waktuwaktu', 'rame', 'gak', 'kebagian', 'ruangannya', 'antrian', 'bersaing', 'driver', 'ojek', 'online', 'kedai', 'kopi', 'favoritku', 'kurekomendasikan', 'orangorang']","['kopi', 'cita', 'baik', 'dukung', 'suasana', 'nyaman', 'couvee', 'opsi', 'utama', 'minum', 'kopi', 'beli', 'basic', 'white', 'gula', 'take', 'away', 'sih', 'akhirakhir', 'coba', 'aktivitas', 'lantai', 'nyaman', 'banget', 'tugas', 'dukung', 'hawa', 'dingin', 'ac', 'internet', 'kencang', 'meja', 'colok', 'pada', 'ruang', 'toilet', 'bersih', 'layan', 'oke', 'ramah', 'lengkap', 'kopi', 'enak', 'suasana', 'nyaman', 'minum', 'noncoffee', 'enak', 'coba', 'gak', 'enak', 'parkir', 'sih', 'pada', 'motor', 'mobil', 'kayak', 'susah', 'waktuwaktu', 'rame', 'gak', 'bagi', 'ruang', 'antri', 'saing', 'driver', 'ojek', 'online', 'kedai', 'kopi', 'favorit', 'rekomendasi', 'orangorang']",kopi cita baik dukung suasana nyaman couvee opsi utama minum kopi beli basic white gula take away sih akhirakhir coba aktivitas lantai nyaman banget tugas dukung hawa dingin ac internet kencang meja colok pada ruang toilet bersih layan oke ramah lengkap kopi enak suasana nyaman minum noncoffee enak coba gak enak parkir sih pada motor mobil kayak susah waktuwaktu rame gak bagi ruang antri saing driver ojek online kedai kopi favorit rekomendasi orangorang
"Couvee Seturan dikenal sebagai cabang yang ramah untuk co worker, ruangan luas dan penataan rapi dengan sharing table di tengah. Stop kontak hampir ada di tiap bangku nya dan AC yang cukup dingin menjadikan customer nyaman. Kini area belakang sedikit direnovasi menjadi area semi outdoor yang estetik. Pelayanan ramah dan helpful. Untuk cita rasa kopinya, Couvee sudah menjadi salah satu signature kopi susunya warga Jogja. Taste yang bitter nutty menjadi khas Couvee yang sudah melekat di lidah. Harga terjangkau dan ada beberapa pilihan menu pastry sebagai pendamping minum kopi.",couvee seturan dikenal sebagai cabang yang ramah untuk co worker ruangan luas dan penataan rapi dengan sharing table di tengah stop kontak hampir ada di tiap bangku nya dan ac yang cukup dingin menjadikan customer nyaman kini area belakang sedikit direnovasi menjadi area semi outdoor yang estetik pelayanan ramah dan helpful untuk cita rasa kopinya couvee sudah menjadi salah satu signature kopi susunya warga jogja taste yang bitter nutty menjadi khas couvee yang sudah melekat di lidah harga terjangkau dan ada beberapa pilihan menu pastry sebagai pendamping minum kopi,"['couvee', 'seturan', 'dikenal', 'cabang', 'ramah', 'co', 'worker', 'ruangan', 'luas', 'penataan', 'rapi', 'sharing', 'table', 'stop', 'kontak', 'bangku', 'nya', 'ac', 'dingin', 'menjadikan', 'customer', 'nyaman', 'area', 'direnovasi', 'area', 'semi', 'outdoor', 'estetik', 'pelayanan', 'ramah', 'helpful', 'cita', 'kopinya', 'couvee', 'salah', 'signature', 'kopi', 'susunya', 'warga', 'jogja', 'taste', 'bitter', 'nutty', 'khas', 'couvee', 'melekat', 'lidah', 'harga', 'terjangkau', 'pilihan', 'menu', 'pastry', 'pendamping', 'minum', 'kopi']","['couvee', 'tur', 'kenal', 'cabang', 'ramah', 'co', 'worker', 'ruang', 'luas', 'tata', 'rapi', 'sharing', 'table', 'stop', 'kontak', 'bangku', 'nya', 'ac', 'dingin', 'jadi', 'customer', 'nyaman', 'area', 'renovasi', 'area', 'semi', 'outdoor', 'estetik', 'layan', 'ramah', 'helpful', 'cita', 'kopi', 'couvee', 'salah', 'signature', 'kopi', 'susu', 'warga', 'jogja', 'taste', 'bitter', 'nutty', 'khas', 'couvee', 'lekat', 'lidah', 'harga', 'jangkau', 'pilih', 'menu', 'pastry', 'damping', 'minum', 'kopi']",couvee tur kenal cabang ramah co worker ruang luas tata rapi sharing table stop kontak bangku nya ac dingin jadi customer nyaman area renovasi area semi outdoor estetik layan ramah helpful cita kopi couvee salah signature kopi susu warga jogja taste bitter nutty khas couvee lekat lidah harga jangkau pilih menu pastry damping minum kopi
"Sengaja banget mampir beli couvee langsung di outlet (tapi dibawa pulang). Emang lagi doyan jajan minuman ke coffee shop dan lagi nyobain macem² merk. Saya sebenarnya pengguna cashless (lebih seneng bayar non tunai). Tapi kemarin saya lagi pengen bayar cash. Dan disana MENOLAK dibayar cash dgn alasan tdk ada kembalian. Okke saya tidak masalah. Saya bayar dgn QRIS. Dan untuk pertama kalinya uang saya 'NYANGKUT' (Padahal beli sayur di warung rumahan aja ga pernah uang saya nyangkut). Sempet konfirmasi bolak balik (krn antrian panjang, ga enak dgn pelanggan lain) dan barista yg CEWEK yg melayani sejak awal JUTEK dan tidak memberi solusi sama sekali. Hanya suruh nunggu saja. Saya akhirnya ditanggapi oleh Barista cowok. Dan masih bolak balik sambil saya tunjukkan bukti QRIS saya di email. Saya jg info klo saldo saya sudah berkurang. Dia menanggapi dengan ramah. Dia menyampaikan memang sering terjadi hal seperti itu, dan uang biasanya akan kembali. Akhirnya saya membayar dengan pembayaran baru. Katanya misal pembayaran ter-double maka saya bs datang lagi untuk mengambil uang tsb dgn menunjukkan nota. Ya memang 45.000 itu tidak seberapa. Tapi misal terjadi ke banyak orang, maka banyak yg dirugikan. Dan saya baca di ratting pun ada yg mengalami hal yg sama disini.
Dan saya berharap bisa bayar CASH di couvee krn ternyata ada yg mengeluhkan tdk bs bayar cash juga disini. Dan sampai hari ini terhitung sudah 2hari uang saya masih belum kembali.

Kalau untuk tempatnya sebenarnya cukup standar dgn coffee shop lainnya. Tapi parkir terbatas. Tidak bs bawa mobil.
Untuk barista, tolong diajarkan keramahan. Kalau orang berpenampilan sederhana bukan berarti tidak mampu beli di cofee shop. Krn dari caranya bersikap terlihat seperti merendahkan.
Untuk menu yg saya beli black coffee dan matcha latte. Rasanya enak.",sengaja banget mampir beli couvee langsung di outlet tapi dibawa pulang emang lagi doyan jajan minuman ke coffee shop dan lagi nyobain macem merk saya sebenarnya pengguna cashless lebih seneng bayar non tunai tapi kemarin saya lagi pengen bayar cash dan disana menolak dibayar cash dgn alasan tdk ada kembalian okke saya tidak masalah saya bayar dgn qris dan untuk pertama kalinya uang saya nyangkut padahal beli sayur di warung rumahan aja ga pernah uang saya nyangkut sempet konfirmasi bolak balik krn antrian panjang ga enak dgn pelanggan lain dan barista yg cewek yg melayani sejak awal jutek dan tidak memberi solusi sama sekali hanya suruh nunggu saja saya akhirnya ditanggapi oleh barista cowok dan masih bolak balik sambil saya tunjukkan bukti qris saya di email saya jg info klo saldo saya sudah berkurang dia menanggapi dengan ramah dia menyampaikan memang sering terjadi hal seperti itu dan uang biasanya akan kembali akhirnya saya membayar dengan pembayaran baru katanya misal pembayaran terdouble maka saya bs datang lagi untuk mengambil uang tsb dgn menunjukkan nota ya memang itu tidak seberapa tapi misal terjadi ke banyak orang maka banyak yg dirugikan dan saya baca di ratting pun ada yg mengalami hal yg sama disini dan saya berharap bisa bayar cash di couvee krn ternyata ada yg mengeluhkan tdk bs bayar cash juga disini dan sampai hari ini terhitung sudah hari uang saya masih belum kembali kalau untuk tempatnya sebenarnya cukup standar dgn coffee shop lainnya tapi parkir terbatas tidak bs bawa mobil untuk barista tolong diajarkan keramahan kalau orang berpenampilan sederhana bukan berarti tidak mampu beli di cofee shop krn dari caranya bersikap terlihat seperti merendahkan untuk menu yg saya beli black coffee dan matcha latte rasanya enak,"['sengaja', 'banget', 'mampir', 'beli', 'couvee', 'langsung', 'outlet', 'dibawa', 'pulang', 'emang', 'doyan', 'jajan', 'minuman', 'coffee', 'shop', 'nyobain', 'macem', 'merk', 'pengguna', 'cashless', 'seneng', 'bayar', 'non', 'tunai', 'kemarin', 'pengen', 'bayar', 'cash', 'disana', 'menolak', 'dibayar', 'cash', 'dgn', 'alasan', 'tdk', 'kembalian', 'okke', 'bayar', 'dgn', 'qris', 'kalinya', 'uang', 'nyangkut', 'beli', 'sayur', 'warung', 'rumahan', 'aja', 'ga', 'uang', 'nyangkut', 'sempet', 'konfirmasi', 'bolak', 'krn', 'antrian', 'ga', 'enak', 'dgn', 'pelanggan', 'barista', 'yg', 'cewek', 'yg', 'melayani', 'jutek', 'solusi', 'suruh', 'nunggu', 'ditanggapi', 'barista', 'cowok', 'bolak', 'tunjukkan', 'bukti', 'qris', 'email', 'jg', 'info', 'klo', 'saldo', 'berkurang', 'menanggapi', 'ramah', 'uang', 'membayar', 'pembayaran', 'pembayaran', 'terdouble', 'bs', 'mengambil', 'uang', 'tsb', 'dgn', 'nota', 'ya', 'orang', 'yg', 'dirugikan', 'baca', 'ratting', 'yg', 'mengalami', 'yg', 'berharap', 'bayar', 'cash', 'couvee', 'krn', 'yg', 'mengeluhkan', 'tdk', 'bs', 'bayar', 'cash', 'terhitung', 'uang', 'tempatnya', 'standar', 'dgn', 'coffee', 'shop', 'parkir', 'terbatas', 'bs', 'bawa', 'mobil', 'barista', 'tolong', 'diajarkan', 'keramahan', 'orang', 'berpenampilan', 'sederhana', 'beli', 'cofee', 'shop', 'krn', 'bersikap', 'merendahkan', 'menu', 'yg', 'beli', 'black', 'coffee', 'matcha', 'latte', 'enak']","['sengaja', 'banget', 'mampir', 'beli', 'couvee', 'langsung', 'outlet', 'bawa', 'pulang', 'emang', 'doyan', 'jajan', 'minum', 'coffee', 'shop', 'nyobain', 'macem', 'merk', 'guna', 'cashless', 'neng', 'bayar', 'non', 'tunai', 'kemarin', 'ken', 'bayar', 'cash', 'sana', 'tolak', 'bayar', 'cash', 'dgn', 'alas', 'tdk', 'kembali', 'okke', 'bayar', 'dgn', 'qris', 'kali', 'uang', 'nyangkut', 'beli', 'sayur', 'warung', 'rumah', 'aja', 'ga', 'uang', 'nyangkut', 'sempet', 'konfirmasi', 'bolak', 'krn', 'antri', 'ga', 'enak', 'dgn', 'langgan', 'barista', 'yg', 'cewek', 'yg', 'layan', 'jutek', 'solusi', 'suruh', 'nunggu', 'tanggap', 'barista', 'cowok', 'bolak', 'tunjuk', 'bukti', 'qris', 'email', 'jg', 'info', 'klo', 'saldo', 'kurang', 'tanggap', 'ramah', 'uang', 'bayar', 'bayar', 'bayar', 'terdouble', 'bs', 'ambil', 'uang', 'tsb', 'dgn', 'nota', 'ya', 'orang', 'yg', 'rugi', 'baca', 'ratting', 'yg', 'alami', 'yg', 'harap', 'bayar', 'cash', 'couvee', 'krn', 'yg', 'keluh', 'tdk', 'bs', 'bayar', 'cash', 'hitung', 'uang', 'tempat', 'standar', 'dgn', 'coffee', 'shop', 'parkir', 'batas', 'bs', 'bawa', 'mobil', 'barista', 'tolong', 'ajar', 'ramah', 'orang', 'tampil', 'sederhana', 'beli', 'cofee', 'shop', 'krn', 'sikap', 'rendah', 'menu', 'yg', 'beli', 'black', 'coffee', 'matcha', 'latte', 'enak']",sengaja banget mampir beli couvee langsung outlet bawa pulang emang doyan jajan minum coffee shop nyobain macem merk guna cashless neng bayar non tunai kemarin ken bayar cash sana tolak bayar cash dgn alas tdk kembali okke bayar dgn qris kali uang nyangkut beli sayur warung rumah aja ga uang nyangkut sempet konfirmasi bolak krn antri ga enak dgn langgan barista yg cewek yg layan jutek solusi suruh nunggu tanggap barista cowok bolak tunjuk bukti qris email jg info klo saldo kurang tanggap ramah uang bayar bayar bayar terdouble bs ambil uang tsb dgn nota ya orang yg rugi baca ratting yg alami yg harap bayar cash couvee krn yg keluh tdk bs bayar cash hitung uang tempat standar dgn coffee shop parkir batas bs bawa mobil barista tolong ajar ramah orang tampil sederhana beli cofee shop krn sikap rendah menu yg beli black coffee matcha latte enak
"Kopinya enak, perpaduannya pas, kopinya pas berasa. Jika ga tlalu suka kopi bgt ada yg creamy, tgl memilih sesuai selera. Tempatnya juga enak buat nongkrong.",kopinya enak perpaduannya pas kopinya pas berasa jika ga tlalu suka kopi bgt ada yg creamy tgl memilih sesuai selera tempatnya juga enak buat nongkrong,"['kopinya', 'enak', 'perpaduannya', 'pas', 'kopinya', 'pas', 'berasa', 'ga', 'tlalu', 'suka', 'kopi', 'bgt', 'yg', 'creamy', 'tgl', 'memilih', 'sesuai', 'selera', 'tempatnya', 'enak', 'nongkrong']","['kopi', 'enak', 'padu', 'pas', 'kopi', 'pas', 'asa', 'ga', 'tlalu', 'suka', 'kopi', 'bgt', 'yg', 'creamy', 'tgl', 'pilih', 'sesuai', 'selera', 'tempat', 'enak', 'nongkrong']",kopi enak padu pas kopi pas asa ga tlalu suka kopi bgt yg creamy tgl pilih sesuai selera tempat enak nongkrong
"Coba kesini karena menginap di hotel sebelah. Penasaran karena tempatny yang selalu ramai. Saya dan keluarga pesan:
Kopi Java, vanilla latte, kopi gula merah, Caramel machiato n pandan latte.

Semuany tidak ad yang gagal. Enak semua. Kopinya berasa banget,n creamy.
Saya sampai minum 2 hari berturut-turut. Tapi harus tahan antriannya yang panjang, bisa menunggu kurang lebih 1 jam.

Saya nyaman disini ❤️",coba kesini karena menginap di hotel sebelah penasaran karena tempatny yang selalu ramai saya dan keluarga pesan kopi java vanilla latte kopi gula merah caramel machiato n pandan latte semuany tidak ad yang gagal enak semua kopinya berasa bangetn creamy saya sampai minum hari berturutturut tapi harus tahan antriannya yang panjang bisa menunggu kurang lebih jam saya nyaman disini,"['coba', 'kesini', 'menginap', 'hotel', 'sebelah', 'penasaran', 'tempatny', 'ramai', 'keluarga', 'pesan', 'kopi', 'java', 'vanilla', 'latte', 'kopi', 'gula', 'merah', 'caramel', 'machiato', 'n', 'pandan', 'latte', 'semuany', 'ad', 'gagal', 'enak', 'kopinya', 'berasa', 'bangetn', 'creamy', 'minum', 'berturutturut', 'tahan', 'antriannya', 'menunggu', 'jam', 'nyaman']","['coba', 'kesini', 'inap', 'hotel', 'belah', 'penasaran', 'tempatny', 'ramai', 'keluarga', 'pesan', 'kopi', 'java', 'vanilla', 'latte', 'kopi', 'gula', 'merah', 'caramel', 'machiato', 'n', 'pandan', 'latte', 'semuany', 'ad', 'gagal', 'enak', 'kopi', 'asa', 'bangetn', 'creamy', 'minum', 'berturutturut', 'tahan', 'antri', 'tunggu', 'jam', 'nyaman']",coba kesini inap hotel belah penasaran tempatny ramai keluarga pesan kopi java vanilla latte kopi gula merah caramel machiato n pandan latte semuany ad gagal enak kopi asa bangetn creamy minum berturutturut tahan antri tunggu jam nyaman
"sukaaa bgt sama red velvetnya, rasanya ga ky red velvet biasanya mnrut aku 🤩",sukaaa bgt sama red velvetnya rasanya ga ky red velvet biasanya mnrut aku,"['sukaaa', 'bgt', 'red', 'velvetnya', 'ga', 'ky', 'red', 'velvet', 'mnrut']","['sukaaa', 'bgt', 'red', 'velvetnya', 'ga', 'ky', 'red', 'velvet', 'mnrut']",sukaaa bgt red velvetnya ga ky red velvet mnrut
"pelayanan ramah dan lumayan cepet. tempat nyaman buat bekerja dan nugas, cukup luas",pelayanan ramah dan lumayan cepet tempat nyaman buat bekerja dan nugas cukup luas,"['pelayanan', 'ramah', 'lumayan', 'cepet', 'nyaman', 'nugas', 'luas']","['layan', 'ramah', 'lumayan', 'cepet', 'nyaman', 'nugas', 'luas']",layan ramah lumayan cepet nyaman nugas luas
"Setelah renovasi, space yang tadinya semi outdoor dijadikan indoor dan ber-AC. Semakin luas dan banyak pilihan tempat duduk untuk nugas. Kopinya tidak diragukan salah satu yang terenak di Jogja.

Iced Americano (Arabica, 20k)
Double Shot Espresso (Arabica, 15k)",setelah renovasi space yang tadinya semi outdoor dijadikan indoor dan berac semakin luas dan banyak pilihan tempat duduk untuk nugas kopinya tidak diragukan salah satu yang terenak di jogja iced americano arabica k double shot espresso arabica k,"['renovasi', 'space', 'semi', 'outdoor', 'dijadikan', 'indoor', 'berac', 'luas', 'pilihan', 'duduk', 'nugas', 'kopinya', 'diragukan', 'salah', 'terenak', 'jogja', 'iced', 'americano', 'arabica', 'k', 'double', 'shot', 'espresso', 'arabica', 'k']","['renovasi', 'space', 'semi', 'outdoor', 'jadi', 'indoor', 'berac', 'luas', 'pilih', 'duduk', 'nugas', 'kopi', 'ragu', 'salah', 'enak', 'jogja', 'iced', 'americano', 'arabica', 'k', 'double', 'shot', 'espresso', 'arabica', 'k']",renovasi space semi outdoor jadi indoor berac luas pilih duduk nugas kopi ragu salah enak jogja iced americano arabica k double shot espresso arabica k
Order via gofood ke hotel. Matcha dan kopsus nya enak🫶🏻,order via gofood ke hotel matcha dan kopsus nya enak,"['order', 'via', 'gofood', 'hotel', 'matcha', 'kopsus', 'nya', 'enak']","['order', 'via', 'gofood', 'hotel', 'matcha', 'kopsus', 'nya', 'enak']",order via gofood hotel matcha kopsus nya enak
"Menu kopi aja gada snack jd emang tempat difokusin buat orng kerja dan nugas. Klo laper y tinggal keluar. Fasilitas mushola tdk ada, jd klo mau sholat keluar dulu. Bikin minum cepet, klo lg rame ya harap sabar aja. Klo disini ngga takut buat ninggal barang keluar bentar, laptop tas di taruh meja gitu wlpun sbnrnya ttp perlu hati2 karna bukan tanggung jawab staff kalo kehilangan. So far pelayanan, produknya, tempetnya aman. Seru buat nonton sunset ✨👍🏻",menu kopi aja gada snack jd emang tempat difokusin buat orng kerja dan nugas klo laper y tinggal keluar fasilitas mushola tdk ada jd klo mau sholat keluar dulu bikin minum cepet klo lg rame ya harap sabar aja klo disini ngga takut buat ninggal barang keluar bentar laptop tas di taruh meja gitu wlpun sbnrnya ttp perlu hati karna bukan tanggung jawab staff kalo kehilangan so far pelayanan produknya tempetnya aman seru buat nonton sunset,"['menu', 'kopi', 'aja', 'gada', 'snack', 'jd', 'emang', 'difokusin', 'orng', 'kerja', 'nugas', 'klo', 'laper', 'tinggal', 'fasilitas', 'mushola', 'tdk', 'jd', 'klo', 'sholat', 'bikin', 'minum', 'cepet', 'klo', 'lg', 'rame', 'ya', 'harap', 'sabar', 'aja', 'klo', 'ngga', 'takut', 'ninggal', 'barang', 'bentar', 'laptop', 'tas', 'taruh', 'meja', 'gitu', 'wlpun', 'sbnrnya', 'ttp', 'hati', 'karna', 'tanggung', 'staff', 'kalo', 'kehilangan', 'far', 'pelayanan', 'produknya', 'tempetnya', 'aman', 'seru', 'nonton', 'sunset']","['menu', 'kopi', 'aja', 'gada', 'snack', 'jd', 'emang', 'difokusin', 'orng', 'kerja', 'nugas', 'klo', 'laper', 'tinggal', 'fasilitas', 'mushola', 'tdk', 'jd', 'klo', 'sholat', 'bikin', 'minum', 'cepet', 'klo', 'lg', 'rame', 'ya', 'harap', 'sabar', 'aja', 'klo', 'ngga', 'takut', 'ninggal', 'barang', 'bentar', 'laptop', 'tas', 'taruh', 'meja', 'gitu', 'wlpun', 'sbnrnya', 'ttp', 'hati', 'karna', 'tanggung', 'staff', 'kalo', 'hilang', 'far', 'layan', 'produk', 'tempetnya', 'aman', 'seru', 'nonton', 'sunset']",menu kopi aja gada snack jd emang difokusin orng kerja nugas klo laper tinggal fasilitas mushola tdk jd klo sholat bikin minum cepet klo lg rame ya harap sabar aja klo ngga takut ninggal barang bentar laptop tas taruh meja gitu wlpun sbnrnya ttp hati karna tanggung staff kalo hilang far layan produk tempetnya aman seru nonton sunset
